source_file,time_utc,time_ist,target_lat,target_lon,grid_lat,grid_lon,row_index,col_index,ghi,dhi,dni,ins,time,projection_information,proj_dim
3RIMG_01JAN2019_0945_L2C_INS_V01R00.h5,2019-01-01 09:45:00,2019-01-01 15:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,659.9011840820312,105.19428253173828,862.650146484375,773.4688110351562,9994185.0,1721345976,0
3RIMG_01JAN2019_1015_L2C_INS_V01R00.h5,2019-01-01 10:15:00,2019-01-01 15:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,546.4238891601562,90.15681457519531,826.9066162109375,611.217041015625,9994215.0,-352282696,0
3RIMG_01JAN2019_1045_L2C_INS_V01R00.h5,2019-01-01 10:45:00,2019-01-01 16:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,422.1936950683594,74.29106903076172,771.9580078125,556.0455322265625,9994245.0,-1075968072,0
3RIMG_01JAN2019_1115_L2C_INS_V01R00.h5,2019-01-01 11:15:00,2019-01-01 16:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,291.2116394042969,54.8376579284668,690.5075073242188,359.2825927734375,9994275.0,1433278392,0
3RIMG_01JAN2019_1145_L2C_INS_V01R00.h5,2019-01-01 11:45:00,2019-01-01 17:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,160.08534240722656,33.10688018798828,556.52783203125,283.3988952636719,9994305.0,-553777224,0
3RIMG_01JAN2019_1215_L2C_INS_V01R00.h5,2019-01-01 12:15:00,2019-01-01 17:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,44.50566482543945,10.97008991241455,305.8388366699219,87.5799560546875,9994335.0,973551544,0
3RIMG_01JAN2019_1245_L2C_INS_V01R00.h5,2019-01-01 12:45:00,2019-01-01 18:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994365.0,-1945335880,0
3RIMG_01JAN2019_1315_L2C_INS_V01R00.h5,2019-01-01 13:15:00,2019-01-01 18:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994395.0,-1453353032,0
3RIMG_01JAN2019_1345_L2C_INS_V01R00.h5,2019-01-01 13:45:00,2019-01-01 19:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994425.0,-1407592520,0
3RIMG_01JAN2019_1415_L2C_INS_V01R00.h5,2019-01-01 14:15:00,2019-01-01 19:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994455.0,994281400,0
3RIMG_01JAN2019_1445_L2C_INS_V01R00.h5,2019-01-01 14:45:00,2019-01-01 20:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994485.0,-314325064,0
3RIMG_01JAN2019_1515_L2C_INS_V01R00.h5,2019-01-01 15:15:00,2019-01-01 20:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994515.0,565143480,0
3RIMG_01JAN2019_1545_L2C_INS_V01R00.h5,2019-01-01 15:45:00,2019-01-01 21:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994545.0,-1802057800,0
3RIMG_01JAN2019_1615_L2C_INS_V01R00.h5,2019-01-01 16:15:00,2019-01-01 21:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994575.0,1580009400,0
3RIMG_01JAN2019_1645_L2C_INS_V01R00.h5,2019-01-01 16:45:00,2019-01-01 22:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994605.0,361039800,0
3RIMG_01JAN2019_1715_L2C_INS_V01R00.h5,2019-01-01 17:15:00,2019-01-01 22:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994635.0,1346033592,0
3RIMG_01JAN2019_1815_L2C_INS_V01R00.h5,2019-01-01 18:15:00,2019-01-01 23:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994695.0,-836606024,0
3RIMG_01JAN2019_1845_L2C_INS_V01R00.h5,2019-01-01 18:45:00,2019-01-02 00:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994725.0,-802617416,0
3RIMG_01JAN2019_1915_L2C_INS_V01R00.h5,2019-01-01 19:15:00,2019-01-02 00:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994755.0,1584064440,0
3RIMG_01JAN2019_1945_L2C_INS_V01R00.h5,2019-01-01 19:45:00,2019-01-02 01:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994785.0,1927342008,0
3RIMG_01JAN2019_2015_L2C_INS_V01R00.h5,2019-01-01 20:15:00,2019-01-02 01:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994815.0,694650808,0
3RIMG_01JAN2019_2045_L2C_INS_V01R00.h5,2019-01-01 20:45:00,2019-01-02 02:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994845.0,1998440376,0
3RIMG_01JAN2019_2115_L2C_INS_V01R00.h5,2019-01-01 21:15:00,2019-01-02 02:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994875.0,-485083208,0
3RIMG_01JAN2019_2145_L2C_INS_V01R00.h5,2019-01-01 21:45:00,2019-01-02 03:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994905.0,1509750712,0
3RIMG_01JAN2019_2215_L2C_INS_V01R00.h5,2019-01-01 22:15:00,2019-01-02 03:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994935.0,-344586312,0
3RIMG_01JAN2019_2245_L2C_INS_V01R00.h5,2019-01-01 22:45:00,2019-01-02 04:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994965.0,208697272,0
3RIMG_01JAN2019_2315_L2C_INS_V01R00.h5,2019-01-01 23:15:00,2019-01-02 04:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994995.0,906000312,0
3RIMG_01JAN2019_2345_L2C_INS_V01R00.h5,2019-01-01 23:45:00,2019-01-02 05:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9995025.0,191166392,0
